id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
"frida-793","Fennel seed","andre","Fennel seed fra Frida DTU database",326.63,15.8,12.5,15,39.8,"{'A':14,'D':0,'B1':0,'B2':0,'B3':6}","{'sodium':88,'potassium':1694,'calcium':1196,'magnesium':385,'iron':18.54,'zinc':3.7,'phosphor':487}","frida_dtu","793",true
"frida-794","Marmalade, English type","andre","Marmalade, English type fra Frida DTU database",276.6,0.1,66.2,,0.7,"{'A':8.33,'D':0,'E':0,'B1':0,'B2':0,'B3':0,'Folate':5,'C':10}","{'sodium':18,'potassium':44,'calcium':35,'magnesium':4,'iron':0.6,'zinc':0.03,'selenium':0.3,'phosphor':13}","frida_dtu","794",true
"frida-795","Chicken, flesh only, raw","kød","Chicken, flesh only, raw fra Frida DTU database",127.91,19.3,,5.63,,"{'A':16,'D':0.2,'E':0.29,'B1':0.096,'B2':0.158,'B3':8,'Folate':10,'C':2.3}","{'sodium':76,'potassium':281,'calcium':11,'magnesium':24,'iron':0.58,'zinc':1,'selenium':12.4,'phosphor':173}","frida_dtu","795",true
"frida-796","Lamb, leg, trimmed, raw","kød","Lamb, leg, trimmed, raw fra Frida DTU database",127.9,19.6,,5.5,,"{'A':45,'D':0,'E':0.7,'B1':0.18,'B2':0,'B3':4.3,'Folate':0.7,'C':0}","{'sodium':78,'potassium':350,'calcium':13,'magnesium':27,'iron':2.2,'zinc':3.3,'selenium':6.05,'phosphor':210}","frida_dtu","796",true
"frida-797","Whale meat, raw","kød","Whale meat, raw fra Frida DTU database",110.8,22.3,,2,,"{'B1':0.1,'B2':0.22,'C':0}","{'sodium':93,'potassium':320,'magnesium':33,'iron':4,'zinc':1.4,'phosphor':195}","frida_dtu","797",true
"frida-798","Veal, thin fat, raw","fedtstoffer","Veal, thin fat, raw fra Frida DTU database",121.2,18.6,,5.2,,"{'A':0,'D':0.2,'E':0.15,'B1':0.063,'B2':0.132,'B3':6,'Folate':3,'C':1}","{'sodium':68,'potassium':322,'calcium':8,'magnesium':20,'iron':1.4,'zinc':4.3,'selenium':8.4,'phosphor':178}","frida_dtu","798",true
"frida-799","Cauliflower, Danish, raw","andre","Cauliflower, Danish, raw fra Frida DTU database",18.76,1.7,2.05,,"{'A':0,'D':0,'E':0.01,'B1':0.031,'B2':0.054,'B3':0.33,'Folate':32,'C':24.44}","{'sodium':12,'potassium':268,'calcium':21,'magnesium':11,'iron':0.28,'zinc':0.23,'selenium':0,'phosphor':38}","frida_dtu","799",true
"frida-800","Crab, boiled","fedtstoffer","Crab, boiled fra Frida DTU database",128.8,20.1,0.5,5.2,,"{'A':650,'D':0,'E':2.4,'B1':0.1,'B2':0,'B3':2.5,'Folate':3,'C':0}","{'sodium':370,'potassium':270,'calcium':29,'magnesium':48,'iron':1,'zinc':5.5,'selenium':50,'phosphor':350}","frida_dtu","800",true
"frida-801","Potato, boiled","grøntsager","Potato, boiled fra Frida DTU database",84.9,1.71,17.5,0.1,1.44,"{'A':0.33,'E':0,'B1':0.098,'B2':0.019,'B3':1.31,'Folate':9,'C':8.3}","{'sodium':5,'potassium':328,'calcium':8,'magnesium':20,'iron':0.31,'zinc':0.27,'selenium':0.3,'phosphor':40}","frida_dtu","801",true
"frida-802","Ptarmigan, flesh, raw","andre","Ptarmigan, flesh, raw fra Frida DTU database",112.4,23.5,,2,,"{'B1':0.22,'B2':0.53,'B3':7.1,'C':0}","{'sodium':89,'potassium':390,'calcium':40,'magnesium':36,'iron':7.5,'zinc':1.5,'phosphor':290}","frida_dtu","802",true
